url,title,status,finger
http://11185.gdpost.com.cn:8002,404 Not Found,404,{'Nginx'}
http://fs.gdpost.com.cn:8080,,404,set()
http://61.144.88.254:8013,,200,"{'Font Awesome', 'IIS', 'Windows Server', 'Bootstrap', 'Microsoft ASP.NET', 'animate.css', 'Nginx', 'jQuery'}"
https://weixin2.ichsh.com.cn,403 Forbidden,403,{'Nginx'}
https://202.105.44.39,,404,{'Nginx'}
https://beebox-pay.183gz.com.cn,,200,{'Nginx'}
https://wx.gdems.com/certificate,职业资格证书寄递,200,"{'Nginx', 'jQuery'}"
http://qyweixin.gdwyj.cn:8002,404 Not Found,404,{'Nginx'}
http://beebox-webchat.183gz.com.cn,,404,{'Nginx'}
http://api.zhyj.dgzyyz.com:8080,,404,set()
http://qyweixin.gdwyj.cn:8001,,200,{'Nginx'}
https://res.zhyj.dgzyyz.com,403 Forbidden,403,{'Nginx'}
https://www.gdems.com,403 Forbidden,403,{'Nginx'}
https://202.105.44.33:50002,404,404,{'Nginx'}
http://kuajingyi.gdems.com,,200,{'Nginx'}
http://ichsh.com.cn,全国邮政电子商务运营中心,200,{'Nginx'}
http://202.105.44.50:8010,404 Not Found,404,{'Nginx'}
http://dcjupload.szhkhui.com,,478,set()
http://www.dgpostwx.com,,200,{'Nginx'}
http://gd.postoa.com.cn:8080,,200,{'Apache'}
http://pay.dg11185.com,403 Forbidden,403,{'Nginx'}
http://wx.dgpostwx.com,,200,{'Nginx'}
http://qyweixin.gdwyj.cn:8010,404 Not Found,404,{'Nginx'}
http://ems.emspost.com.cn:9000,HTTP Status 404 – 未找到,404,set()
https://spc.routdata.com,403 Forbidden,403,{'Nginx'}
http://test.kjy.cn,,404,{'Microsoft HTTPAPI'}
https://ins.dgzyyz.com,,404,{'Nginx'}
https://baoxian.dg11185.com,全国邮政电子商务运营中心,200,{'Tengine'}
http://202.105.44.50:8002,404 Not Found,404,{'Nginx'}
http://ems.emspost.com.cn,403 Forbidden,403,{'Nginx'}
https://api.wjd.weiyoutong.cn,,200,"{'PHP', 'Nginx'}"
http://www.weiyoutong.cn,微邮筒,200,"{'Swiper Slider', 'Vue.js', 'Hammer.js', 'Nginx', 'jQuery'}"
http://202.105.44.24,,200,{'Nginx'}
http://www.gdwyj.cn,广东邮政欢迎你,200,{'Nginx'}
